id,name,brand,category,description,price,rating,stock,tags
19,ToyWorld Tablet,ToyWorld,Electronics,High-quality toyworld tablet with advanced features. Perfect for professionals.,50.72,3.9,53,"['electronics', 'toyworld', 'toyworld', 'tablet']"
20,TechPro Sauce,TechPro,Food,Delicious techpro sauce made with organic ingredients. Low-carb option available.,222.53,3.3,21,"['food', 'techpro', 'techpro', 'sauce']"
21,StyleMaster Chair,StyleMaster,Home & Garden,Beautiful stylemaster chair to enhance your living space. Made with premium materials.,100.3,3.2,1,"['home & garden', 'stylemaster', 'stylemaster', 'chair']"
22,StyleMaster Smartphone,StyleMaster,Electronics,High-quality stylemaster smartphone with advanced features. Perfect for professionals.,276.94,4.2,46,"['electronics', 'stylemaster', 'stylemaster', 'smartphone']"
23,BookWorm Football,BookWorm,Sports,Professional-grade bookworm football designed for athletes.,638.84,4.2,16,"['sports', 'bookworm', 'bookworm', 'football']"
24,SportElite Football,SportElite,Sports,Professional-grade sportelite football designed for beginners.,400.44,4.0,0,"['sports', 'sportelite', 'sportelite', 'football']"
25,Romance Book: Better Self,BookWorm,Books,Captivating romance book that will keep you engaged from start to finish. Written by a bestselling author.,636.42,4.1,60,"['books', 'bookworm', 'romance', 'book:', 'better', 'self']"
26,Mystery Book: Galaxy Warriors,BookWorm,Books,Captivating mystery book that will keep you engaged from start to finish. Written by a bestselling author.,351.76,4.4,67,"['books', 'bookworm', 'mystery', 'book:', 'galaxy', 'warriors']"
27,FoodDelight Running Shoes,FoodDelight,Sports,Professional-grade fooddelight running shoes designed for athletes.,953.91,3.3,29,"['sports', 'fooddelight', 'fooddelight', 'running', 'shoes']"
28,FoodDelight Camera,FoodDelight,Electronics,High-quality fooddelight camera with advanced features. Perfect for students.,350.4,4.3,84,"['electronics', 'fooddelight', 'fooddelight', 'camera']"
29,FoodDelight Hat,FoodDelight,Clothing,Stylish fooddelight hat made with premium materials. Ideal for casual wear.,270.97,3.0,67,"['clothing', 'fooddelight', 'fooddelight']"
30,StyleMaster Dress,StyleMaster,Clothing,Stylish stylemaster dress made with premium materials. Ideal for formal wear.,838.19,4.5,72,"['clothing', 'stylemaster', 'stylemaster', 'dress']"
31,BeautyGlow Lamp,BeautyGlow,Home & Garden,Beautiful beautyglow lamp to enhance your living space. Made with premium materials.,894.58,5.0,24,"['home & garden', 'beautyglow', 'beautyglow', 'lamp']"
32,StyleMaster Chair,StyleMaster,Home & Garden,Beautiful stylemaster chair to enhance your living space. Made with durable materials.,67.43,4.6,67,"['home & garden', 'stylemaster', 'stylemaster', 'chair']"
33,ToyWorld Dress,ToyWorld,Clothing,Stylish toyworld dress made with premium materials. Ideal for special occasions wear.,465.58,4.9,10,"['clothing', 'toyworld', 'toyworld', 'dress']"
34,FoodDelight Chair,FoodDelight,Home & Garden,Beautiful fooddelight chair to enhance your living space. Made with premium materials.,950.56,4.0,68,"['home & garden', 'fooddelight', 'fooddelight', 'chair']"
35,HomeEssentials Chair,HomeEssentials,Home & Garden,Beautiful homeessentials chair to enhance your living space. Made with premium materials.,213.61,3.9,96,"['home & garden', 'homeessentials', 'homeessentials', 'chair']"
36,TechPro Hat,TechPro,Clothing,Stylish techpro hat made with premium materials. Ideal for special occasions wear.,192.45,4.3,22,"['clothing', 'techpro', 'techpro']"
37,HomeEssentials Action Figure,HomeEssentials,Toys,Fun and educational homeessentials action figure for children. Enhances creativity.,769.67,3.7,99,"['toys', 'homeessentials', 'homeessentials', 'action', 'figure']"
38,HomeEssentials Jacket,HomeEssentials,Clothing,Stylish homeessentials jacket made with premium materials. Ideal for formal wear.,350.89,3.7,53,"['clothing', 'homeessentials', 'homeessentials', 'jacket']"
39,BeautyGlow Chair,BeautyGlow,Home & Garden,Beautiful beautyglow chair to enhance your living space. Made with durable materials.,817.68,3.5,10,"['home & garden', 'beautyglow', 'beautyglow', 'chair']"
40,TechPro Pasta,TechPro,Food,Delicious techpro pasta made with premium ingredients. Sugar-free option available.,696.22,3.8,86,"['food', 'techpro', 'techpro', 'pasta']"
41,SportElite Football,SportElite,Sports,Professional-grade sportelite football designed for athletes.,679.33,4.0,32,"['sports', 'sportelite', 'sportelite', 'football']"
42,StyleMaster Jacket,StyleMaster,Clothing,Stylish stylemaster jacket made with premium materials. Ideal for casual wear.,708.21,4.2,36,"['clothing', 'stylemaster', 'stylemaster', 'jacket']"
43,TechPro Hat,TechPro,Clothing,Stylish techpro hat made with premium materials. Ideal for casual wear.,865.96,3.9,66,"['clothing', 'techpro', 'techpro']"
44,StyleMaster Tablet,StyleMaster,Electronics,High-quality stylemaster tablet with advanced features. Perfect for everyday use.,925.11,3.3,68,"['electronics', 'stylemaster', 'stylemaster', 'tablet']"
45,Mystery Book: The Hidden Truth,SportElite,Books,Captivating mystery book that will keep you engaged from start to finish. Written by a bestselling author.,483.17,4.5,58,"['books', 'sportelite', 'mystery', 'book:', 'hidden', 'truth']"
46,Romance Book: Life Story,StyleMaster,Books,Captivating romance book that will keep you engaged from start to finish. Written by a bestselling author.,488.99,4.4,30,"['books', 'stylemaster', 'romance', 'book:', 'life', 'story']"
47,BeautyGlow Football,BeautyGlow,Sports,Professional-grade beautyglow football designed for beginners.,366.44,3.1,38,"['sports', 'beautyglow', 'beautyglow', 'football']"
48,ToyWorld Pasta,ToyWorld,Food,Delicious toyworld pasta made with locally-sourced ingredients. Gluten-free option available.,950.36,4.7,42,"['food', 'toyworld', 'toyworld', 'pasta']"
49,ToyWorld Headphones,ToyWorld,Electronics,High-quality toyworld headphones with advanced features. Perfect for gaming.,975.96,4.8,78,"['electronics', 'toyworld', 'toyworld', 'headphones']"
50,TechPro Shampoo,TechPro,Beauty,Premium techpro shampoo with hypoallergenic ingredients for glowing skin.,587.55,3.2,26,"['beauty', 'techpro', 'techpro', 'shampoo']"
51,HomeEssentials Makeup Kit,HomeEssentials,Beauty,Premium homeessentials makeup kit with natural ingredients for glowing skin.,597.81,4.3,98,"['beauty', 'homeessentials', 'homeessentials', 'makeup']"
52,BeautyGlow Hat,BeautyGlow,Clothing,Stylish beautyglow hat made with premium materials. Ideal for special occasions wear.,153.44,4.3,56,"['clothing', 'beautyglow', 'beautyglow']"
53,HomeEssentials Coffee,HomeEssentials,Food,Delicious homeessentials coffee made with locally-sourced ingredients. Vegan option available.,955.43,3.2,87,"['food', 'homeessentials', 'homeessentials', 'coffee']"
54,TechPro T-shirt,TechPro,Clothing,Stylish techpro t-shirt made with premium materials. Ideal for casual wear.,377.09,3.8,50,"['clothing', 'techpro', 'techpro', 't-shirt']"
55,BookWorm Sauce,BookWorm,Food,Delicious bookworm sauce made with premium ingredients. Low-carb option available.,95.92,4.5,9,"['food', 'bookworm', 'bookworm', 'sauce']"
56,SportElite Lamp,SportElite,Home & Garden,Beautiful sportelite lamp to enhance your living space. Made with premium materials.,195.75,3.7,87,"['home & garden', 'sportelite', 'sportelite', 'lamp']"
57,ToyWorld Lipstick,ToyWorld,Beauty,Premium toyworld lipstick with organic ingredients for youthful skin.,615.98,4.6,66,"['beauty', 'toyworld', 'toyworld', 'lipstick']"
58,BookWorm Building Blocks,BookWorm,Toys,Fun and educational bookworm building blocks for children. Enhances creativity.,512.38,4.0,51,"['toys', 'bookworm', 'bookworm', 'building', 'blocks']"
59,StyleMaster Laptop,StyleMaster,Electronics,High-quality stylemaster laptop with advanced features. Perfect for everyday use.,94.25,4.0,17,"['electronics', 'stylemaster', 'stylemaster', 'laptop']"
60,TechPro T-shirt,TechPro,Clothing,Stylish techpro t-shirt made with premium materials. Ideal for outdoor wear.,467.16,3.2,6,"['clothing', 'techpro', 'techpro', 't-shirt']"
61,Fantasy Book: Galaxy Warriors,BeautyGlow,Books,Captivating fantasy book that will keep you engaged from start to finish. Written by a bestselling author.,966.69,4.4,89,"['books', 'beautyglow', 'fantasy', 'book:', 'galaxy', 'warriors']"
62,SportElite Shoes,SportElite,Clothing,Stylish sportelite shoes made with premium materials. Ideal for outdoor wear.,69.13,3.9,33,"['clothing', 'sportelite', 'sportelite', 'shoes']"
63,BeautyGlow Shampoo,BeautyGlow,Beauty,Premium beautyglow shampoo with hypoallergenic ingredients for youthful skin.,910.5,5.0,87,"['beauty', 'beautyglow', 'beautyglow', 'shampoo']"
64,BeautyGlow Board Game,BeautyGlow,Toys,Fun and educational beautyglow board game for children. Enhances creativity.,154.72,4.4,97,"['toys', 'beautyglow', 'beautyglow', 'board', 'game']"
65,StyleMaster Lipstick,StyleMaster,Beauty,Premium stylemaster lipstick with vegan ingredients for healthy skin.,923.61,3.8,15,"['beauty', 'stylemaster', 'stylemaster', 'lipstick']"
66,Mystery Book: Life Story,StyleMaster,Books,Captivating mystery book that will keep you engaged from start to finish. Written by a bestselling author.,467.48,3.3,85,"['books', 'stylemaster', 'mystery', 'book:', 'life', 'story']"
67,Self-Help Book: Magic Kingdom,StyleMaster,Books,Captivating self-help book that will keep you engaged from start to finish. Written by a bestselling author.,330.84,3.7,94,"['books', 'stylemaster', 'self-help', 'book:', 'magic', 'kingdom']"
68,FoodDelight Camera,FoodDelight,Electronics,High-quality fooddelight camera with advanced features. Perfect for everyday use.,327.87,4.8,78,"['electronics', 'fooddelight', 'fooddelight', 'camera']"
69,HomeEssentials Makeup Kit,HomeEssentials,Beauty,Premium homeessentials makeup kit with hypoallergenic ingredients for youthful skin.,868.91,3.9,95,"['beauty', 'homeessentials', 'homeessentials', 'makeup']"
70,Biography Book: Galaxy Warriors,SportElite,Books,Captivating biography book that will keep you engaged from start to finish. Written by a bestselling author.,480.18,3.1,52,"['books', 'sportelite', 'biography', 'book:', 'galaxy', 'warriors']"
71,ToyWorld Laptop,ToyWorld,Electronics,High-quality toyworld laptop with advanced features. Perfect for professionals.,880.05,3.6,61,"['electronics', 'toyworld', 'toyworld', 'laptop']"
72,Mystery Book: Magic Kingdom,TechPro,Books,Captivating mystery book that will keep you engaged from start to finish. Written by a bestselling author.,513.82,4.2,67,"['books', 'techpro', 'mystery', 'book:', 'magic', 'kingdom']"
73,HomeEssentials Table,HomeEssentials,Home & Garden,Beautiful homeessentials table to enhance your living space. Made with durable materials.,911.95,3.4,75,"['home & garden', 'homeessentials', 'homeessentials', 'table']"
74,StyleMaster Building Blocks,StyleMaster,Toys,Fun and educational stylemaster building blocks for children. Enhances creativity.,319.24,4.3,57,"['toys', 'stylemaster', 'stylemaster', 'building', 'blocks']"
75,StyleMaster Yoga Mat,StyleMaster,Sports,Professional-grade stylemaster yoga mat designed for beginners.,794.28,5.0,44,"['sports', 'stylemaster', 'stylemaster', 'yoga']"
76,SportElite Football,SportElite,Sports,Professional-grade sportelite football designed for professionals.,68.16,4.1,9,"['sports', 'sportelite', 'sportelite', 'football']"
77,SportElite Chair,SportElite,Home & Garden,Beautiful sportelite chair to enhance your living space. Made with durable materials.,920.77,4.7,28,"['home & garden', 'sportelite', 'sportelite', 'chair']"
78,BookWorm Kitchenware,BookWorm,Home & Garden,Beautiful bookworm kitchenware to enhance your living space. Made with natural materials.,915.75,4.3,100,"['home & garden', 'bookworm', 'bookworm', 'kitchenware']"
79,ToyWorld Smartwatch,ToyWorld,Electronics,High-quality toyworld smartwatch with advanced features. Perfect for students.,933.12,3.6,85,"['electronics', 'toyworld', 'toyworld', 'smartwatch']"
80,SportElite Remote Control Car,SportElite,Toys,Fun and educational sportelite remote control car for children. Enhances motor skills.,700.07,3.2,85,"['toys', 'sportelite', 'sportelite', 'remote', 'control']"
81,SportElite Skincare Set,SportElite,Beauty,Premium sportelite skincare set with hypoallergenic ingredients for healthy skin.,843.78,3.4,7,"['beauty', 'sportelite', 'sportelite', 'skincare']"
82,BeautyGlow Shoes,BeautyGlow,Clothing,Stylish beautyglow shoes made with premium materials. Ideal for outdoor wear.,140.71,4.3,24,"['clothing', 'beautyglow', 'beautyglow', 'shoes']"
83,ToyWorld Kitchenware,ToyWorld,Home & Garden,Beautiful toyworld kitchenware to enhance your living space. Made with premium materials.,668.35,4.6,58,"['home & garden', 'toyworld', 'toyworld', 'kitchenware']"
84,BeautyGlow Shampoo,BeautyGlow,Beauty,Premium beautyglow shampoo with hypoallergenic ingredients for radiant skin.,799.24,4.7,55,"['beauty', 'beautyglow', 'beautyglow', 'shampoo']"
85,FoodDelight Kitchenware,FoodDelight,Home & Garden,Beautiful fooddelight kitchenware to enhance your living space. Made with natural materials.,491.73,3.0,88,"['home & garden', 'fooddelight', 'fooddelight', 'kitchenware']"
86,HomeEssentials Lamp,HomeEssentials,Home & Garden,Beautiful homeessentials lamp to enhance your living space. Made with premium materials.,985.74,5.0,9,"['home & garden', 'homeessentials', 'homeessentials', 'lamp']"
87,BookWorm Tea,BookWorm,Food,Delicious bookworm tea made with high-quality ingredients. Low-carb option available.,593.22,4.1,44,"['food', 'bookworm', 'bookworm']"
88,SportElite Building Blocks,SportElite,Toys,Fun and educational sportelite building blocks for children. Enhances creativity.,896.41,3.2,65,"['toys', 'sportelite', 'sportelite', 'building', 'blocks']"
89,StyleMaster Table,StyleMaster,Home & Garden,Beautiful stylemaster table to enhance your living space. Made with natural materials.,808.46,4.4,91,"['home & garden', 'stylemaster', 'stylemaster', 'table']"
90,TechPro Laptop,TechPro,Electronics,High-quality techpro laptop with advanced features. Perfect for students.,261.68,4.4,5,"['electronics', 'techpro', 'techpro', 'laptop']"
91,FoodDelight Board Game,FoodDelight,Toys,Fun and educational fooddelight board game for children. Enhances motor skills.,210.55,4.5,45,"['toys', 'fooddelight', 'fooddelight', 'board', 'game']"
92,ToyWorld Fitness Tracker,ToyWorld,Sports,Professional-grade toyworld fitness tracker designed for intermediates.,251.6,4.1,37,"['sports', 'toyworld', 'toyworld', 'fitness', 'tracker']"
93,BeautyGlow Table,BeautyGlow,Home & Garden,Beautiful beautyglow table to enhance your living space. Made with premium materials.,112.05,3.9,67,"['home & garden', 'beautyglow', 'beautyglow', 'table']"
94,ToyWorld Chair,ToyWorld,Home & Garden,Beautiful toyworld chair to enhance your living space. Made with durable materials.,367.72,4.5,3,"['home & garden', 'toyworld', 'toyworld', 'chair']"
95,SportElite Shampoo,SportElite,Beauty,Premium sportelite shampoo with hypoallergenic ingredients for youthful skin.,796.41,4.1,100,"['beauty', 'sportelite', 'sportelite', 'shampoo']"
96,StyleMaster Camera,StyleMaster,Electronics,High-quality stylemaster camera with advanced features. Perfect for professionals.,21.6,3.5,66,"['electronics', 'stylemaster', 'stylemaster', 'camera']"
97,ToyWorld Shoes,ToyWorld,Clothing,Stylish toyworld shoes made with premium materials. Ideal for casual wear.,829.57,3.3,65,"['clothing', 'toyworld', 'toyworld', 'shoes']"
98,BeautyGlow Football,BeautyGlow,Sports,Professional-grade beautyglow football designed for athletes.,508.39,4.9,0,"['sports', 'beautyglow', 'beautyglow', 'football']"
99,TechPro Running Shoes,TechPro,Sports,Professional-grade techpro running shoes designed for beginners.,87.95,3.3,100,"['sports', 'techpro', 'techpro', 'running', 'shoes']"
100,Science Fiction Book: Better Self,TechPro,Books,Captivating science fiction book that will keep you engaged from start to finish. Written by a bestselling author.,640.28,3.8,54,"['books', 'techpro', 'science', 'fiction', 'book:', 'better', 'self']"
